ID,song
81616,哀愁トラベラー_by_渡辺真知子
151575,愛情パズル_by_渡辺真知子
125127,愛することだけすればよかった_by_渡辺真知子
192410,愛の讃歌_by_渡辺真知子
157008,青空に誓って_by_渡辺真知子
151572,朝のメニュー_by_渡辺真知子
192418,明日へ_by_渡辺真知子
155368,あたしだって_by_渡辺真知子
192413,あなたにだから_by_渡辺真知子
151571,あなたの歌_by_渡辺真知子
192415,Amar haciendo el amor_by_渡辺真知子
155366,Amazing Grace_by_渡辺真知子
152159,雨がやむまで待って_by_渡辺真知子
25327,A・N・TA_by_渡辺真知子
287785,A・N・TA_by_渡辺真知子
192419,異国にて_by_渡辺真知子
125137,いちどだけ冒険者_by_渡辺真知子
252416,いつものように_by_渡辺真知子
155370,愛のゆくえ_by_渡辺真知子
291472,If you don't mind_by_渡辺真知子
151573,今は泣かせて_by_渡辺真知子
67077,いろいろな白_by_渡辺真知子
287789,WINNERS GOAL_by_渡辺真知子
125129,Welcome To Yokosuka_by_渡辺真知子
132408,歌って 歌って 恋をして_by_渡辺真知子
155369,腕の中のスマイル Duet with 根本要(from Stardust Revue)_by_渡辺真知子
192421,うみなり_by_渡辺真知子
125133,海につれていって_by_渡辺真知子
27327,Espressoでお別れ_by_渡辺真知子
81595,Off Shoreの風_by_渡辺真知子
291470,思い思われ_by_渡辺真知子
192412,オルゴールの恋唄_by_渡辺真知子
291468,Only you と囁いて_by_渡辺真知子
192416,Overseas Call_by_渡辺真知子
151576,片っぽ耳飾り_by_渡辺真知子
1379,かもめが翔んだ日_by_渡辺真知子
291466,ガラスごしの言葉_by_渡辺真知子
125138,季節の翳りに_by_渡辺真知子
81596,気になるあいつ_by_渡辺真知子
192420,空港_by_渡辺真知子
1671,唇よ、熱く君を語れ_by_渡辺真知子
125136,恋のフリーウェイ_by_渡辺真知子
252421,コハウ・ロンゴロンゴ-ものいう樹-_by_渡辺真知子
152164,今夜は踊って_by_渡辺真知子
152163,GOSTO DE SAMBA_by_渡辺真知子
192411,さくら さくら_by_渡辺真知子
125134,寒い夏_by_渡辺真知子
192422,自然の中に_by_渡辺真知子
152161,指定席_by_渡辺真知子
252420,Seagull_by_渡辺真知子
81593,好きと言って_by_渡辺真知子
152160,少しはまだ悲しいけれど_by_渡辺真知子
155367,Smile_by_渡辺真知子
81598,Sailing Night_by_渡辺真知子
291465,せつなくジェラシー_by_渡辺真知子
56959,それでもI love you_by_渡辺真知子
152165,大切な順番_by_渡辺真知子
242515,太陽のカリシア_by_渡辺真知子
6828,たかが恋_by_渡辺真知子
38630,たとえば…たとえば_by_渡辺真知子
125126,TAHIBALI_by_渡辺真知子
155365,展覧会の絵_by_渡辺真知子
242572,ときの華_by_渡辺真知子
81594,泣いてララバイ_by_渡辺真知子
81592,なのにあいつ_by_渡辺真知子
242517,花束をありがとう_by_渡辺真知子
242516,ハート_by_渡辺真知子
291467,Bye Bye 涙_by_渡辺真知子
252419,BETTERFLY FISH_by_渡辺真知子
252418,VAMOS CANTAR_by_渡辺真知子
287788,Here's To Life_by_渡辺真知子
125130,Feel Free_by_渡辺真知子
125132,フォグ・ランプ_by_渡辺真知子
287786,冬のバレリーナ_by_渡辺真知子
291469,Fly away_by_渡辺真知子
8795,ブルー_by_渡辺真知子
287784,Play Map_by_渡辺真知子
41088,ホールド ミー タイト_by_渡辺真知子
192409,Volare_by_渡辺真知子
4286,迷い道_by_渡辺真知子
287787,迷い道_by_渡辺真知子
125125,迷い道(96年ヴァージョン)_by_渡辺真知子
81597,真夜中のハイウェイ_by_渡辺真知子
192414,MI TIERRA NATAL～私のふるさと～_by_渡辺真知子
220904,港スコープ_by_渡辺真知子
4481,メソポタミア・ダンス_by_渡辺真知子
125131,Memories_by_渡辺真知子
125128,メリーさんは知らない_by_渡辺真知子
125135,メロディ_by_渡辺真知子
75020,もしもピアノが弾けたなら_by_渡辺真知子
192417,夕暮れStation_by_渡辺真知子
291471,夢ひとかけら_by_渡辺真知子
152158,夢をわたる鳥たち_by_渡辺真知子
192423,予告篇_by_渡辺真知子
135994,横須賀ストーリー_by_渡辺真知子
242514,楽園_by_渡辺真知子
252417,LOVEBIRD_by_渡辺真知子
152157,ワインとあなたと_by_渡辺真知子
41089,別れて そして_by_渡辺真知子
151574,私の展覧会_by_渡辺真知子
242518,私はわすれない～人生が微笑む瞬間～_by_渡辺真知子
152162,One Side Game_by_渡辺真知子
227819,愛は時を越えて_by_マルシア
159,愛を置き去りに_by_マルシア
18330,紅い蓮～Chove Chuva～_by_マルシア
211,あきらめてバイバイ_by_マルシア
227820,あなたにSilent Night_by_マルシア
300,あなたの愛につつまれて_by_マルシア
274041,ALEGRIA_by_マルシア
274038,ALEGRIA (ポルトガル語 ver.)_by_マルシア
149007,ウナ・セラ・ディ東京_by_マルシア
76660,駅_by_マルシア
85863,エデンの雨_by_マルシア
274040,男が酒を飲む夜は_by_マルシア
227816,片想い_by_マルシア
70964,カッコウ・ホテル_by_マルシア
149004,君をのせて_by_マルシア
149001,ケ・サラ_by_マルシア
149006,GAME IS OVER_by_マルシア
9550,心の結婚_by_マルシア
227821,さよならを捜して_by_マルシア
8763,しあわせになれる_by_マルシア
5114,灼熱…サウダージ ～AMOR…SAUDADE～_by_マルシア
10643,Just A Woman ～あなたへ～_by_マルシア
149002,人生一路_by_マルシア
9173,ずっと 許してる_by_マルシア
227815,そっとおやすみ_by_マルシア
79086,卒業写真_by_マルシア
2953,抱きしめて_by_マルシア
246002,時の流れに身をまかせ_by_マルシア
227817,人形の家_by_マルシア
89399,はがゆい唇_by_マルシア
149005,バルセロナの夜_by_マルシア
3793,陽だまり_by_マルシア
79114,PIECE OF MY WISH_by_マルシア
149003,フィーリング_by_マルシア
4022,ふりむけばヨコハマ_by_マルシア
85862,舞姫になれない_by_マルシア
4256,待ちわびて哀愁_by_マルシア
227818,マンハッタン・キス_by_マルシア
70963,Yours～時のいたずら～_by_マルシア
227822,雪どけ_by_マルシア
274039,リンゴ追分_by_マルシア
277918,憧れ_by_岡田有希子
277916,あなたを忘れる魔法があれば_by_岡田有希子
5051,哀しい予感_by_岡田有希子
279339,気まぐれTeenage Love_by_岡田有希子
1668,くちびるNetwork_by_岡田有希子
277912,恋のエチュード_by_岡田有希子
279340,恋のダブルス_by_岡田有希子
279336,恋人たちのカレンダー_by_岡田有希子
5050,Summer Beach_by_岡田有希子
277919,さよなら・夏休み_by_岡田有希子
277915,Sweet Planet_by_岡田有希子
277917,ソネット_by_岡田有希子
279341,そよ風はペパーミント_by_岡田有希子
38587,―Dreaming Girl― 恋、はじめまして_by_岡田有希子
277911,花のイマージュ_by_岡田有希子
19991,Believe In You_by_岡田有希子
38429,ファースト・デイト_by_岡田有希子
5049,二人だけのセレモニー_by_岡田有希子
279335,二人のブルー・トレイン_by_岡田有希子
279338,PRIVATE RED_by_岡田有希子
279337,星と夜と恋人たち_by_岡田有希子
277913,水色プリンセス―水の精―_by_岡田有希子
5052,Love Fair_by_岡田有希子
156379,リトル・プリンセス_by_岡田有希子
277914,ロンサム・シーズン_by_岡田有希子
123021,I Can Do It_by_三代目 J SOUL BROTHERS from EXILE TRIBE
192689,Unfair World_by_三代目 J SOUL BROTHERS from EXILE TRIBE
264727,Yes we are_by_三代目 J SOUL BROTHERS from EXILE TRIBE
178974,"Eeny, meeny, miny, moe!_by_三代目 J SOUL BROTHERS from EXILE TRIBE"
149242,Waking Me Up_by_三代目 J SOUL BROTHERS from EXILE TRIBE
217879,Welcome to TOKYO_by_三代目 J SOUL BROTHERS from EXILE TRIBE
165883,Wedding Bell ～素晴らしきかな人生～_by_三代目 J SOUL BROTHERS from EXILE TRIBE
175204,O.R.I.O.N._by_三代目 J SOUL BROTHERS from EXILE TRIBE
123017,On The Road ～夢の途中～_by_三代目 J SOUL BROTHERS from EXILE TRIBE
105586,On Your Mark ～ヒカリのキセキ～_by_三代目 J SOUL BROTHERS from EXILE TRIBE
113891,Always_by_三代目 J SOUL BROTHERS from EXILE TRIBE
178972,All LOVE_by_三代目 J SOUL BROTHERS from EXILE TRIBE
161603,風の中、歩き出す_by_三代目 J SOUL BROTHERS from EXILE TRIBE
133447,Kiss You Tonight_by_三代目 J SOUL BROTHERS from EXILE TRIBE
305174,KICK&SLIDE_by_三代目 J SOUL BROTHERS from EXILE TRIBE
113892,君となら_by_三代目 J SOUL BROTHERS from EXILE TRIBE
140004,君の瞳に恋してる -Can't Take My Eyes Off You-_by_三代目 J SOUL BROTHERS from EXILE TRIBE
205501,銀河鉄道999 (三代目J Soul Brothers Ver.)_by_三代目 J SOUL BROTHERS from EXILE TRIBE
170802,Glory_by_三代目 J SOUL BROTHERS from EXILE TRIBE
250352,恋と愛_by_三代目 J SOUL BROTHERS from EXILE TRIBE
170803,C.O.S.M.O.S. ～秋桜～_by_三代目 J SOUL BROTHERS from EXILE TRIBE
126218,Go my way_by_三代目 J SOUL BROTHERS from EXILE TRIBE
271998,GOLDEN_by_三代目 J SOUL BROTHERS from EXILE TRIBE
126217,最後のサクラ_by_三代目 J SOUL BROTHERS from EXILE TRIBE
123019,SOUTHSIDE_by_三代目 J SOUL BROTHERS from EXILE TRIBE
161604,S.A.K.U.R.A._by_三代目 J SOUL BROTHERS from EXILE TRIBE
165884,Summer Dreams Come True_by_三代目 J SOUL BROTHERS from EXILE TRIBE
189725,Summer Madness feat. Afrojack_by_三代目 J SOUL BROTHERS from EXILE TRIBE
304851,JSB IN BLACK_by_三代目 J SOUL BROTHERS from EXILE TRIBE
241208,J.S.B. HAPPINESS_by_三代目 J SOUL BROTHERS from EXILE TRIBE
157457,JSB Blue_by_三代目 J SOUL BROTHERS from EXILE TRIBE
225649,J.S.B. LOVE_by_三代目 J SOUL BROTHERS from EXILE TRIBE
